GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,SOURCEURL
267364787,20130912,201309,2013,2013.6904,HLH,DOCTOR,,,,,,HLH,,,GOVHLH,HEALTH OFFICIAL,,,,,,GOV,HLH,,0,120,120,12,3,-4,6,1,6,1.048492792,1,Indonesia,ID,ID,-5,120,ID,1,Indonesia,ID,ID,-5,120,ID,1,Indonesia,ID,ID,-5,120,ID,20130912,http://www.cidrap.umn.edu/news-perspective/2013/09/cdc-notes-solid-childhood-vaccine-coverage-measles-concerns,2013
268223728,20130918,201309,2013,2013.7068,IDNHLH,INDONESIA,IDN,,,,,HLH,,,HLH,NURSE,,,,,,HLH,,,1,112,112,11,3,-2,6,1,6,0.787401575,4,"Pamekasan, Jawa Timur, Indonesia",ID,ID08,-7.1568,113.475,-2690518,4,"Pamekasan, Jawa Timur, Indonesia",ID,ID08,-7.1568,113.475,-2690518,4,"Pamekasan, Jawa Timur, Indonesia",ID,ID08,-7.1568,113.475,-2690518,20130918,http://www.thejakartaglobe.com/news/family-of-east-java-woman-say-nurse-performed-fatal-surgery/,2013
268985674,20130924,201309,2013,2013.7233,HLH,DOCTOR,,,,,,HLH,,,IDNHLH,INDONESIA,IDN,,,,,HLH,,,1,20,20,2,1,3,8,1,8,1.544401544,4,"Tangerang, Jawa Barat, Indonesia",ID,ID30,-6.17806,106.63,-2699323,4,"Tangerang, Jawa Barat, Indonesia",ID,ID30,-6.17806,106.63,-2699323,4,"Tangerang, Jawa Barat, Indonesia",ID,ID30,-6.17806,106.63,-2699323,20130924,http://www.thejakartapost.com/news/2013/09/24/the-hiring-foreign-doctors-south-tangerang-hospital-illegal-idi.html,2013
268986777,20130924,201309,2013,2013.7233,IDNHLH,INDONESIAN,IDN,,,,,HLH,,,HLH,DOCTOR,,,,,,HLH,,,1,112,112,11,3,-2,6,1,6,1.544401544,4,"Tangerang, Jawa Barat, Indonesia",ID,ID30,-6.17806,106.63,-2699323,4,"Tangerang, Jawa Barat, Indonesia",ID,ID30,-6.17806,106.63,-2699323,4,"Tangerang, Jawa Barat, Indonesia",ID,ID30,-6.17806,106.63,-2699323,20130924,http://www.thejakartapost.com/news/2013/09/24/the-hiring-foreign-doctors-south-tangerang-hospital-illegal-idi.html,2013
269165213,20130925,201309,2013,2013.726,GOVHLH,HEALTH DEPARTMENT,,,,,,GOV,HLH,,HLH,DOCTOR,,,,,,HLH,,,1,10,10,1,1,0,8,3,8,1.808541027,4,"Tangsel, Jawa Barat, Indonesia",ID,ID30,-6.86611,106.996,6427542,4,"Tangsel, Jawa Barat, Indonesia",ID,ID30,-6.86611,106.996,6427542,4,"Tangsel, Jawa Barat, Indonesia",ID,ID30,-6.86611,106.996,6427542,20130925,http://www.bernama.com/bernama/v7/ge/newsgeneral.php?id=980644,2013
269165216,20130925,201309,2013,2013.726,GOVHLH,HEALTH DEPARTMENT,,,,,,GOV,HLH,,HLH,DOCTOR,,,,,,HLH,,,1,42,42,4,1,1.9,8,3,8,1.808541027,4,"Tangsel, Jawa Barat, Indonesia",ID,ID30,-6.86611,106.996,6427542,4,"Tangsel, Jawa Barat, Indonesia",ID,ID30,-6.86611,106.996,6427542,4,"Tangsel, Jawa Barat, Indonesia",ID,ID30,-6.86611,106.996,6427542,20130925,http://www.bernama.com/bernama/v7/ge/newsgeneral.php?id=980644,2013
269165218,20130925,201309,2013,2013.726,GOVHLH,HEALTH DEPARTMENT,,,,,,GOV,HLH,,HLH,DOCTOR,,,,,,HLH,,,1,110,110,11,3,-2,30,2,30,1.913875598,4,"Tangsel, Jawa Barat, Indonesia",ID,ID30,-6.86611,106.996,6427542,4,"Tangsel, Jawa Barat, Indonesia",ID,ID30,-6.86611,106.996,6427542,4,"Tangsel, Jawa Barat, Indonesia",ID,ID30,-6.86611,106.996,6427542,20130925,http://www.bernama.com/bernama/v7/ge/newsgeneral.php?id=980644,2013
269167079,20130925,201309,2013,2013.726,HLH,DOCTOR,,,,,,HLH,,,GOVHLH,HEALTH DEPARTMENT,,,,,,GOV,HLH,,1,43,43,4,1,2.8,8,3,8,1.808541027,4,"Tangsel, Jawa Barat, Indonesia",ID,ID30,-6.86611,106.996,6427542,4,"Tangsel, Jawa Barat, Indonesia",ID,ID30,-6.86611,106.996,6427542,4,"Tangsel, Jawa Barat, Indonesia",ID,ID30,-6.86611,106.996,6427542,20130925,http://www.bernama.com/bernama/v7/ge/newsgeneral.php?id=980644,2013
269167087,20130925,201309,2013,2013.726,HLH,DOCTOR,,,,,,HLH,,,IDNGOVHLH,INDONESIA,IDN,,,,,GOV,HLH,,1,43,43,4,1,2.8,16,3,16,1.808541027,4,"Tangsel, Jawa Barat, Indonesia",ID,ID30,-6.86611,106.996,6427542,4,"Tangsel, Jawa Barat, Indonesia",ID,ID30,-6.86611,106.996,6427542,4,"Tangsel, Jawa Barat, Indonesia",ID,ID30,-6.86611,106.996,6427542,20130925,http://www.bernama.com/bernama/v7/ge/newsgeneral.php?id=980644,2013
269168305,20130925,201309,2013,2013.726,IDNGOVHLH,INDONESIA,IDN,,,,,GOV,HLH,,HLH,DOCTOR,,,,,,HLH,,,1,10,10,1,1,0,24,3,24,1.808541027,4,"Tangsel, Jawa Barat, Indonesia",ID,ID30,-6.86611,106.996,6427542,4,"Tangsel, Jawa Barat, Indonesia",ID,ID30,-6.86611,106.996,6427542,4,"Tangsel, Jawa Barat, Indonesia",ID,ID30,-6.86611,106.996,6427542,20130925,http://www.bernama.com/bernama/v7/ge/newsgeneral.php?id=980644,2013
